genre_id,genre,artists
Q1931555,microhouse,Akufen | Isolée | Jan Jelinek | Luomo | Matthew Herbert | Ricardo Villalobos
Q5071702,changa tuki,
Q627906,electro house,Benny Benassi | Boys Noize | Deadmau5 | Justice | Laidback Luke | MSTRKRFT | The Bloody Beetroots | Wolfgang Gartner
Q113493820,French electro,DJ Mehdi | Justice | Kavinsky | Mr. Oizo | SebastiAn | Vitalic
Q2365784,fidget house,Crookers | Hervé | Jack Beats | Riva Starr | Sinden | Switch
Q1228230,Dutch house,Afrojack | Chuckie | Hardwell | Laidback Luke | Quintino | R3hab | Sidney Samson
Q130301602,noiadance,
Q11691380,complextro,Feed Me | Knife Party | Madeon | Mord Fustang | Porter Robinson | Wolfgang Gartner | Zedd
Q20047305,Melbourne bounce,Bombs Away | Joel Fletcher | Timmy Trumpet | Will Sparks
Q956717,kwaito,Arthur Mafokate | Bongo Maffin | Boom Shaka | Mafikizolo | Mandoza | TKZee | Trompies | Zola
Q135369460,bacardi,DJ Mujava | DJ Spoko
Q108321657,jackin' house,
Q108297203,bubbling house,DJ Moortje
Q388100,Afro house,Black Coffee | Caiiro | Culoe De Song | Da Capo | Enoo Napa | Shimza | Themba
Q127606394,3-step,
Q109378734,popcorn music,
Q106634944,festival progressive house,Alesso | Arty | Avicii | Nicky Romero | Otto Knows | Swedish House Mafia
Q15300817,big room house,Blasterjaxx | Dimitri Vegas & Like Mike | Hardwell | KSHMR | Martin Garrix | Nicky Romero | Showtek | W&W
Q109148913,organic house,Be Svendsen | Bedouin | Sabo
Q119438497,UK jackin',
Q80725127,future funk,Macross 82-99 | Moe Shop | Night Tempo | Saint Pepsi | Yung Bae
Q18358879,outsider house,
Q110101956,eletrofunk,
Q85741139,Amapiano,DJ Maphorisa | Focalistic | Kabza De Small | Kelvin Momo | Mas Musiq | Tyler ICU | Uncle Waffles | Young Stunna
Q116745991,Afropiano,Asake
Q27345019,bass house,AC Slater | Chris Lorenzo | Habstrakt | Jauz | Joyryde | Malaa
Q114878571,speed house,
Q85748774,Brazilian bass,Alok | Cat Dealers | Dubdogz | Vintage Culture
Q29973057,gqom,Babes Wodumo | Citizen Boy | DJ Lag | Distruction Boyz | Rudeboyz
Q18342587,tropical house,Felix Jaehn | Klingande | Kygo | Lost Frequencies | Matoma | Robin Schulz | Sam Feldt | Thomas Jack
Q20021059,future house,Brooks | Curbi | Don Diablo | Mesto | Oliver Heldens | Tchami
Q106634926,future bounce,
Q106493832,slap house,Dynoro | Imanbek
Q107697041,g-house,
Q126175574,stutter house,Fred again.. | Joy Anonymous | Salute
Q123753500,phonk house,
Q105637110,jazz house,St Germain
Q116296482,melodic house,Ben Böhmer | Lane 8 | Nora En Pure | Tinlicker | Yotto
Q173844,vocal house,Barbara Tucker | CeCe Peniston | Crystal Waters | Robin S. | Ultra Naté
Q170611,techno,Ben Klock | Carl Craig | Derrick May | Jeff Mills | Juan Atkins | Kevin Saunderson | Richie Hawtin | Robert Hood
Q526463,Detroit techno,Carl Craig | Derrick May | Drexciya | Eddie Fowlkes | Juan Atkins | Kevin Saunderson | Underground Resistance
Q341395,acid techno,Chris Liberator | D.A.V.E. The Drummer | Emmanuel Top | Hardfloor | Plastikman
Q106522080,bleep techno,Forgemasters | LFO | Nightmares on Wax | Sweet Exorcist | Tricky Disco | Unique 3
Q112663444,Belgian hardcore techno,Cubic 22 | Praga Khan | Quadrophonia | T99
Q29480448,industrial techno,Adam X | Ancient Methods | Blawan | Perc | Regis | Surgeon
Q16951912,Birmingham sound,Female | Regis | Surgeon
Q1430587,minimal techno,Daniel Bell | Magda | Marco Carola | Ricardo Villalobos | Richie Hawtin | Robert Hood | Thomas Brinkmann
Q107697221,hardgroove techno,Adam Beyer | Ben Sims | Chris Liebing | Jeff Mills
Q10856835,wonky techno,
Q111182811,peak time techno,Adam Beyer | Amelie Lens | Charlotte de Witte | Enrico Sangiuliano | Joseph Capriati
Q110185782,melodic techno,Adriatique | Innellea | Kölsch | Maceo Plex | Mind Against | Recondite | Stephan Bodzin | Tale of Us
Q106521662,deep techno,
Q9149801,ambient techno,Aphex Twin | B12 | Biosphere | Global Communication | Higher Intelligence Agency | Pete Namlook | Speedy J | The Black Dog
Q1262781,dub techno,Basic Channel | Deadbeat | Deepchord | Monolake | Pole | Porter Ricks | Rhythm & Sound | Vladislav Delay
Q3084222,hard techno,Chris Liebing | DJ Rush | Marco Bailey | Sven Wittekind
Q1524033,free tekno,Spiral Tribe
Q3048168,mákina,Pastis & Buenri
Q307054,schranz,Arkus P | Chris Liebing | Frank Kvitta | Robert Natus | Sven Wittekind
Q2866725,Balearic beat,Alfredo Fiorito | José Padilla | Paul Oakenfold | Sueño Latino
Q663519,breakbeat,Adam Freeland | Fatboy Slim | Hybrid | Plump DJs | Stanton Warriors | The Chemical Brothers | The Crystal Method | The Prodigy
Q2634010,acid breaks,
Q858579,big beat,Bentley Rhythm Ace | Fatboy Slim | Lionrock | Monkey Mafia | Propellerheads | The Chemical Brothers | The Crystal Method | The Prodigy
Q25389262,progressive breaks,BT | Hybrid | Way Out West
Q110874814,West Coast breaks,The Crystal Method | Uberzone
Q2396639,Florida breaks,DJ Baby Anne | DJ Icey | Rabbit in the Moon
Q1756101,nu skool breaks,Adam Freeland | Meat Katie | Plump DJs | Rennie Pilgrem | Stanton Warriors
Q11680297,psybreaks,
Q106636289,breakbeat kota,
Q106636283,jungle dutch,
Q106521759,funky breaks,A.Skillz | Freestylers | Krafty Kuts
Q848852,Eurobeat,Dave Rodgers | Ken Laszlo | Max Coveri | Mega NRG Man | Michael Fortunati | Niko
Q216961,Eurodance,2 Unlimited | Corona | Culture Beat | Dr. Alban | Haddaway | La Bouche | Real McCoy | Snap!
Q930592,Italo dance,Eiffel 65 | Floorfilla | Gigi D'Agostino | Molella | Prezioso
Q109589387,manyao,
Q2076779,bubblegum dance,Aqua | Bambee | Cartoons | Daze | Smile.dk | Toy-Box | Vengaboys
Q170435,trance,Above & Beyond | Armin van Buuren | BT | Ferry Corsten | Paul Oakenfold | Paul van Dyk | Sven Väth | Tiësto
Q481900,acid trance,Emmanuel Top | Hardfloor | Union Jack
Q16837290,Balearic trance,Chicane
Q832665,hard trance,DJ Scot Project | Kai Tracid | Yoji Biomehanika
Q2260696,progressive trance,BT | Markus Schulz | Paul van Dyk | Sasha
Q622871,psychedelic trance,Ace Ventura | Astrix | Hallucinogen | Infected Mushroom | Juno Reactor | Man With No Name | Shpongle | Vini Vici
Q835131,Goa trance,Astral Projection | Doof | Eat Static | Etnica | Goa Gil | Hallucinogen | Juno Reactor | Man With No Name
Q4706203,nitzhonot,Eyal Barkan | Holy Men
Q2452152,dark psytrance,Kindzadza | Xenomorph
Q105404852,hi-tech psytrance,
Q114107195,psycore,
Q2497323,suomisaundi,Salakavala | Squaremeat | Texas Faggott
Q109714096,forest psytrance,
Q10286190,full-on,Astrix | GMS | Infected Mushroom | Skazi | Vibe Tribe
Q109714084,twilight psytrance,
Q2385862,progressive psytrance,Ace Ventura | Captain Hook | Liquid Soul | Neelix | Perfect Stranger | Ticon | Vibrasphere
Q109715837,zenonesque,Grouch | Sensient | Tetrameth
Q1027999,vocal trance,ATB | Above & Beyond | Andain | Armin van Buuren | Chicane | Delerium | Gareth Emery
Q2302695,tech trance,Marco V | Mauro Picotto | Sander van Doorn
Q1339027,dream trance,Nylon Moon | Robert Miles
Q5402470,hard NRG,
Q890887,Eurotrance,ATB | Alice Deejay | DJ Sammy | Darude | Ian Van Dahl | Lasgo | Milk Inc. | Sash!
Q733804,hands up,Cascada | DJ Manian | Groove Coverage | Scooter | Special D.
Q132165415,buchiage trance,
Q1136765,uplifting trance,Aly & Fila | Armin van Buuren | Ferry Corsten | John O'Callaghan | Paul van Dyk | Sean Tyas | Solarstone | Tiësto
Q108831582,big room trance,
Q11877639,electro trance,
Q134997891,hi-tech full-on,
Q139807789,trance 2.0,
Q388906,hardcore,Angerfist | Lenny Dee | Marc Acardipane | Neophyte | Paul Elstak | Rotterdam Terror Corps
Q1585075,breakbeat hardcore,4hero | Acen | Altern-8 | Liquid | SL2 | Shut Up and Dance | The Prodigy | Utah Saints
Q1102161,jungle,Congo Natty | DJ Hype | Goldie | M-Beat | Omni Trio | Remarc | Shy FX | Tom & Jerry
Q2710523,ragga jungle,Congo Natty | General Levy | M-Beat | Remarc | Shy FX | UK Apachi
Q188994,drum and bass,Andy C | Chase & Status | Goldie | LTJ Bukem | Noisia | Pendulum | Photek | Roni Size
Q2842043,atmospheric drum and bass,Big Bud | Blame | LTJ Bukem | Makoto | PFM | Photek | Seba
Q2121992,drumfunk,Equinox | Paradox
Q2640307,hardstep,
Q9011351,jazzstep,4hero | Alex Reece | Peshay | Photek | Roni Size
Q46649,jump-up,Aphrodite | DJ Hype | DJ Zinc | Hazard | Macky Gee | Serum | Taxman
Q1335569,techstep,Bad Company | Dom & Roland | Ed Rush & Optical | Konflict | Trace
Q1166321,darkstep,Dieselboy | Limewax | Panacea | Technical Itch
Q108716407,skullstep,
Q11830421,crossbreed,Counterstrike | Current Value | Katharsys | The Outside Agency
Q2082572,liquid drum and bass,Calibre | Camo & Krooked | High Contrast | Hybrid Minds | Logistics | London Elektricity | Marcus Intalex | Netsky
Q967654,neurofunk,Bad Company | Black Sun Empire | Ed Rush & Optical | Mefjus | Noisia | Phace | Spor | Teddy Killerz
Q3179786,sambass,DJ Marky | Drumagick | Patife | XRS
Q646165,trancestep,
Q107332291,dancefloor drum and bass,Chase & Status | DJ Fresh | Pendulum | Sigma | Sub Focus | Wilkinson
Q10268931,dubwise drum and bass,
Q106404300,minimal drum and bass,Commix | Consequence | Instra:mental | dBridge
Q135437342,microfunk,
Q135553474,autonomic,Instra:mental | dBridge
Q107010574,halftime,Alix Perez | Ivy Lab | Om Unit
Q111804002,deep drum and bass,
Q4181927,technoid,
Q11693017,darkcore,4hero | Doc Scott | Goldie
Q4177625,hardcore breaks,
Q140528499,jungle techno,
Q1191299,industrial hardcore,Ophidian | The Outside Agency
Q341396,acidcore,
Q56580,digital hardcore,Atari Teenage Riot | Christoph De Babalon | EC8OR | Shizuo
Q820049,gabber,3 Steps Ahead | DJ Buzz Fuzz | Euromasters | Neophyte | Party Animals | Paul Elstak | Rotterdam Terror Corps
Q1983750,mainstream hardcore,Angerfist | Endymion | Evil Activities | Korsakoff | Neophyte | Outblast | Tha Playah
Q339906,happy hardcore,Charly Lownoise & Mental Theo | Dougal & Gammer | Force & Styles | Hixxy | Paul Elstak | Scott Brown
Q3066180,bouncy techno,Q-Tex | Scott Brown | Ultra-Sonic
Q2374619,UK hardcore,Darren Styles | Gammer | Hixxy
Q117750973,powerstomp,
Q1242484,doomcore,Marc Acardipane
Q903735,breakcore,Bong-Ra | DJ Scud | Enduser | Igorrr | Kid606 | Shitmat | Venetian Snares
Q1275972,raggacore,Aaron Spectre | Bong-Ra | DJ Scud | Enduser
Q109322851,mashcore,Knifehandchop | Shitmat
Q5978495,lolicore,
Q848457,speedcore,
Q3062629,extratone,
Q11312853,splittercore,
Q2181965,freeform hardcore,Kevin Energy | Sharkey
Q1265050,terrorcore,Delta 9 | Drokz
Q1455487,Frenchcore,Dr. Peacock | Radium | Sefa | The Sickest Squad
Q106594174,uptempo hardcore,
Q125854043,amigacore,
Q123543092,darkcore,
Q122839839,deathchant hardcore,
Q136696186,frapcore,
Q140716476,hard renaissance,
Q3098078,J-core,DJ Sharpnel | m1dy | t+pazolite
Q113621229,future core,
Q30902501,tecnorumba,Camela
Q108297187,balani show,
Q22909461,toytown techno,Smart E's | The Prodigy | Urban Hype
Q660984,intelligent dance music,Aphex Twin | Autechre | Boards of Canada | Plaid | Squarepusher | The Black Dog | Venetian Snares | µ-Ziq
Q1259016,drill and bass,Aphex Twin | Luke Vibert | Squarepusher | µ-Ziq
Q2406633,broken beat,4hero | Bugz in the Attic | IG Culture
Q1165777,UK garage,Artful Dodger | Craig David | DJ EZ | MJ Cole | Oxide & Neutrino | So Solid Crew | Todd Edwards | Wookie
Q780517,speed garage,187 Lockdown | Armand Van Helden | Dem 2 | Double 99
Q1751409,2-step garage,Artful Dodger | Craig David | DJ Luck & MC Neat | MJ Cole | Shanks & Bigfoot | Sweet Female Attitude | Wookie
Q1987980,breakstep,
Q4846346,bassline,"DJ Q | H ""Two"" O | T2"
Q5510816,future garage,Burial | FaltyDL | Mount Kimbie | Sepalcure
Q139488139,dark garage,
Q602561,electro swing,Caravan Palace | Club des Belugas | Parov Stelar | Tape Five | The Correspondents
Q106520965,nerdcore techno,
Q106876075,bubbling,
Q861823,electroclash,Chicks on Speed | Felix da Housecat | Fischerspooner | Ladytron | Miss Kittin & The Hacker | Peaches | Tiga
Q5466607,footwork,DJ Nate | DJ Rashad | DJ Spinn | Jlin | RP Boo | Traxman
Q110967939,footwork jungle,
Q223840,hardstyle,Brennan Heart | Coone | Da Tweekaz | Headhunterz | Noisecontrollers | Showtek | The Prophet | Wildstylez
Q108297238,euphoric hardstyle,Atmozfears | Brennan Heart | Da Tweekaz | Headhunterz | Sound Rush | Wildstylez
Q21000514,rawstyle,Adaro | Delete | Radical Redemption | Ran-D | Warface
Q114594005,rawphoric,
Q139567721,xtra raw,
Q2428625,dubstyle,
Q114743580,psystyle,
Q2611143,early hardstyle,DJ Zany | Showtek | Technoboy | The Prophet
Q136206123,nustyle,
Q11332204,funkot,
Q1191544,kuduro,Buraka Som Sistema | Os Lambas | Titica | Tony Amado
Q108297194,batida,DJ Marfox | Nídia
Q1243254,lento violento,Gigi D'Agostino
Q382343,Nortec,Nortec Collective
Q513357,coupé-décalé,DJ Arafat | Douk Saga | Serge Beynaud
Q362515,electrotango,Bajofondo | Gotan Project | Otros Aires | Tanghetto
Q7844612,tribal guarachero,3Ball MTY
Q20474,dubstep,Benga | Burial | Caspa | Digital Mystikz | Kode9 | Loefah | Rusko | Skream
Q109335331,dungeon sound,
Q118798959,tearout dubstep,
Q20903,brostep,Borgore | Datsik | Doctor P | Excision | Flux Pavilion | Knife Party | Skrillex | Zomboy
Q24876318,drumstep,
Q106528420,deathstep,
Q109713720,minatory,
Q65065491,riddim,Subfiltronik | Subtronics
Q115690999,future riddim,
Q136539124,liquid riddim,
Q108197774,colour bass,
Q119259589,tearout brostep,
Q123421084,briddim,
Q98528158,purple sound,Gemmy | Joker | Rustie
Q2963621,chillstep,Blackmill
Q106404229,melodic dubstep,Illenium | Seven Lions
Q1166726,grime,Dizzee Rascal | Ghetts | JME | Kano | Roll Deep | Skepta | Stormzy | Wiley
Q106654239,weightless,Logos | Mumdance
Q123009321,neo-grime,
Q4965901,Jersey club,DJ Sliink | DJ Tameil
Q111442385,Japanese artcore,
Q888137,skweee,Daniel Savio | Eero Johannes | Mesak
Q140369806,outrun,Kavinsky | Lazerhawk | Miami Nights 1984 | Mitch Murder
Q9364028,UK funky,Crazy Cousinz | Donae'o | Roska
Q1136045,wonky,Flying Lotus | Hudson Mohawke | Joker | Rustie
Q123922710,aquacrunk,Hudson Mohawke | Rustie
Q106514601,glitch hop (EDM),KOAN Sound | Opiuo | The Glitch Mob | Tipper
Q18432631,neurohop,
Q120715859,ghetto funk,
Q106594102,Philly club,
Q17146868,shangaan electro,Nozinja | Tshetsha Boys
Q19358266,electro latino,Juan Magán | Pitbull
Q100922002,budots,
Q96376113,deconstructed club,Amnesia Scanner | Arca | Chino Amobi | Elysia Crampton | Lotic | M.E.S.H. | Rabit | Sophie
Q47781397,EDM trap music,Baauer | Carnage | Flosstradamus | RL Grime | TNGHT | UZ | Yellow Claw
Q111628716,festival trap,
Q107407607,hard trap,
Q111653578,hybrid trap,
Q109753757,twerk,
Q111971785,heaven trap,
Q22908553,future bass,Cashmere Cat | Flume | Hudson Mohawke | Illenium | Louis the Child | San Holo | Wave Racer
Q106577542,kawaii future bass,Snail's House
Q6907397,moombahcore,
Q21092,moombahton,Dave Nada | Dillon Francis | Munchi
Q106591506,bubblegum bass,A. G. Cook | Danny L Harle | GFOTY | Sophie
Q31836693,jungle terror,Wiwek
Q106477753,midtempo bass,1788-L | Rezz
Q106576261,bérite club,
Q109873537,dark disco,
Q108297243,flex dance music,
Q135493744,melodic bass,
Q107697201,hard drum,
Q30594541,hardvapour,
Q65330805,singeli,
Q106388388,hardwave,
Q117198196,cruise,
Q101109587,future rave,David Guetta | Morten
Q120484427,dariacore,Jane Remover
Q65937774,breaks,Adam Freeland | Freestylers | Krafty Kuts | Plump DJs | Rennie Pilgrem | Stanton Warriors
Q140221083,hardtekk,
Q126335126,hypertechno,
Q389631,jumpstyle,Patrick Jumpen
Q131529620,krushclub,
Q139567714,neo rave,
Q122932896,ori deck,
Q114443489,partyschlager,DJ Ötzi | Mickie Krause
Q106130091,post-dubstep,Burial | James Blake | Jamie xx | Joy Orbison | Mount Kimbie | SBTRKT
Q898709,rave music,Acen | Altern-8 | SL2 | Shut Up and Dance | The Prodigy | Utah Saints
Q113600471,hardtek,
Q137442001,pumpcore,
Q117405746,raggatek,
Q116952929,hyper techno,
Q134380635,slimepunk,
Q6865341,minimal wave,Ohama | Oppenheimer Analysis | Solid Space
Q98528171,minimal synth,Oppenheimer Analysis | Solid Space
Q106422444,bit music,
Q135637,chiptune,Anamanaguchi | Bit Shifter | Chipzel | Rob Hubbard | Sabrepulse | YMCK
Q106424145,FM synthesis,
Q773880,bitpop,Anamanaguchi | YMCK
Q22964975,black MIDI,
Q110942239,bytebeat,
Q125799361,demostyle,
Q107985638,horror synth,Goblin | John Carpenter | Zombi
Q817138,electronica,Aphex Twin | Björk | Four Tet | Moby | Orbital | Röyksopp | The Chemical Brothers | Underworld
Q106641525,Celtic electronica,Afro Celt Sound System | Martyn Bennett | Peatbog Faeries
Q3613770,ambient dub,Banco de Gaia | Bill Laswell | Higher Intelligence Agency | The Orb
Q1435509,folktronica,Caribou | Four Tet | The Books | Tunng
Q325397,indietronica,Hot Chip | Metronomy | Múm | Passion Pit | Ratatat | Stereolab | The Postal Service
Q6658771,livetronica,Lotus | Sound Tribe Sector 9 | The Disco Biscuits | The New Deal
Q1091056,funktronica,
Q757143,chill-out music,Air | Bonobo | Groove Armada | Kruder & Dorfmeister | Moby | The Orb | Thievery Corporation | Zero 7
Q251192,downtempo,Air | Bonobo | Kruder & Dorfmeister | Nightmares on Wax | Thievery Corporation | Tycho | Zero 7
Q205560,trip hop,DJ Shadow | Hooverphonic | Lamb | Massive Attack | Morcheeba | Portishead | Sneaker Pimps | Tricky
Q4993553,ambient trance,
Q749475,psybient,Carbon Based Lifeforms | Entheogenic | Ott | Shpongle | Solar Fields
Q115456684,barber beats,
Q1658757,illbient,DJ Spooky
Q85765918,hauntology,Belbury Poly | Boards of Canada | Burial | The Advisory Circle | The Caretaker | The Focus Group
Q3876770,nightcore,
Q115063474,digital fusion,
Q19938910,synthwave,Carpenter Brut | College | FM-84 | Gunship | Kavinsky | Lazerhawk | Perturbator | The Midnight
Q60973191,darksynth,Carpenter Brut | Dance with the Dead | Gost | Perturbator
Q110620412,chillsynth,
Q140005978,dreamwave,
Q30895273,Sovietwave,
Q1840167,witch house,Balam Acab | Holy Other | Salem | White Ring | oOoOO
Q2626684,chillwave,Ducktails | Memory Tapes | Neon Indian | Small Black | Toro y Moi | Washed Out
Q15733887,vaporwave,2814 | Blank Banshee | James Ferraro | Luxury Elite | Macintosh Plus | Saint Pepsi
Q107697260,broken transmission,
Q106594177,utopian virtual,
Q80724932,vaportrap,Blank Banshee
Q117193815,slushwave,
Q106583068,dreampunk,
Q124170473,eccojams,Oneohtrix Point Never
Q138081554,slowed & reverb,
Q109771345,vapornoise,
Q3476798,seapunk,
Q106369996,wave,
Q107697234,HexD,
Q124851801,acholitronix,
Q106582942,cyberpunk music,
Q105763581,experimental electronic music,Aphex Twin | Arca | Autechre | Holly Herndon | Karlheinz Stockhausen | Morton Subotnick | Oneohtrix Point Never | Pan Sonic
Q1100989,glitch,Alva Noto | Autechre | Fennesz | Kid606 | Matmos | Oval | Pan Sonic | Ryoji Ikeda
Q3108920,glitch hop,Dabrye | Machinedrum | Prefuse 73 | Push Button Objects
Q3503814,microsound,Kim Cascone | Richard Chartier | Ryoji Ikeda | Taylor Deupree
Q108297242,flashcore,
Q16002495,algorave,
Q5597175,graphical sound,
Q65937906,leftfield electronic,
Q11399,rock music,Chuck Berry | Led Zeppelin | Nirvana | Pink Floyd | Queen | The Beatles | The Rolling Stones | The Who
Q7749,rock and roll,Bill Haley & His Comets | Bo Diddley | Buddy Holly | Chuck Berry | Elvis Presley | Fats Domino | Jerry Lee Lewis | Little Richard
Q203720,rockabilly,Buddy Holly | Carl Perkins | Eddie Cochran | Elvis Presley | Gene Vincent | Jerry Lee Lewis | Johnny Burnette | Wanda Jackson
Q65943390,neo-rockabilly,Stray Cats | The Polecats | The Reverend Horton Heat
Q2097664,Indorock,The Blue Diamonds | The Tielman Brothers
Q185162,Latin rock,Azteca | El Chicano | Los Lobos | Malo | Ritchie Valens | Santana
Q220830,surf music,Dick Dale | Jan and Dean | The Beach Boys | The Chantays | The Surfaris | The Trashmen | The Ventures
Q106581470,surf rock,Dick Dale | The Bel-Airs | The Chantays | The Surfaris | The Trashmen | The Ventures
Q17065399,wong shadow,
Q108297234,eleki,Takeshi Terauchi | Yuzo Kayama
Q112939200,hot rod music,Jan and Dean | Ronny & the Daytonas | The Beach Boys | The Rip Chords
Q16011695,vocal surf,Jan and Dean | The Beach Boys | The Rip Chords
Q193355,blues rock,Cream | Free | Johnny Winter | Led Zeppelin | Stevie Ray Vaughan | The Allman Brothers Band | The Black Keys | The Jimi Hendrix Experience
Q2266376,boogie rock,Canned Heat | Foghat | Status Quo | ZZ Top
Q211573,garage rock,? and the Mysterians | The Kingsmen | The Remains | The Seeds | The Sonics | The Standells | The Trashmen | The Troggs
Q3752342,frat rock,Paul Revere & the Raiders | Sam the Sham and the Pharaohs | The Kingsmen | The McCoys
Q98528290,garage rock revival,The Black Keys | The Chesterfield Kings | The Fleshtones | The Hives | The Strokes | The Vines | The White Stripes | Yeah Yeah Yeahs
