wikidata_id,name,action,parent,group,reason
Q9095433,waka music,attach,pop music,AFRICAN POP > WEST AFRICA > NIGERIA & GHANA,Nigeria (yoruba).
Q123945693,egwu ogene,attach,pop music,AFRICAN POP > WEST AFRICA > NIGERIA & GHANA,Nigeria (igbo).
Q227036,zouglou,attach,pop music,AFRICAN POP > WEST AFRICA > IVORY COAST,Côte d'Ivoire.
Q199415,ziglibithy,attach,pop music,AFRICAN POP > WEST AFRICA > IVORY COAST,Côte d'Ivoire.
Q16526296,alloukou,attach,pop music,AFRICAN POP > WEST AFRICA > IVORY COAST,Côte d'Ivoire.
Q3575673,zoblazo,attach,pop music,AFRICAN POP > WEST AFRICA > IVORY COAST,Côte d'Ivoire.
Q125854050,tradi-moderne ivoirien,attach,pop music,AFRICAN POP > WEST AFRICA > IVORY COAST,Côte d'Ivoire.
Q556959,mbalax,attach,pop music,"AFRICAN POP > WEST AFRICA > SENEGAL, MALI & CAPE VERDE",Sénégal.
Q7972788,Wassoulou music,attach,pop music,"AFRICAN POP > WEST AFRICA > SENEGAL, MALI & CAPE VERDE",Mali.
Q3090876,funaná,attach,pop music,"AFRICAN POP > WEST AFRICA > SENEGAL, MALI & CAPE VERDE",Cap-Vert.
Q2982341,coladeira,attach,pop music,"AFRICAN POP > WEST AFRICA > SENEGAL, MALI & CAPE VERDE",Cap-Vert.
Q502535,morna,attach,pop music,"AFRICAN POP > WEST AFRICA > SENEGAL, MALI & CAPE VERDE",Cap-Vert.
Q1815364,makossa,attach,pop music,AFRICAN POP > CENTRAL AFRICA > CAMEROON,Cameroun.
Q860196,bikutsi,attach,pop music,AFRICAN POP > CENTRAL AFRICA > CAMEROON,Cameroun.
Q590662,bend-skin,attach,pop music,AFRICAN POP > CENTRAL AFRICA > CAMEROON,Cameroun.
Q2867170,assiko,attach,pop music,AFRICAN POP > CENTRAL AFRICA > CAMEROON,Cameroun.
Q6748746,mangambeu,attach,pop music,AFRICAN POP > CENTRAL AFRICA > CAMEROON,Cameroun.
Q115612369,mbolé,attach,pop music,AFRICAN POP > CENTRAL AFRICA > CAMEROON,Cameroun.
Q3453150,Congolese rumba,attach,pop music,AFRICAN POP > CENTRAL AFRICA > CONGO & ANGOLA,Ramène soukous et kwassa kwassa.
Q98528236,tradi-moderne congolais,attach,pop music,AFRICAN POP > CENTRAL AFRICA > CONGO & ANGOLA,RD Congo.
Q122589702,puxa,attach,pop music,AFRICAN POP > CENTRAL AFRICA > CONGO & ANGOLA,"Afrique centrale, pays non précisé par Wikidata."
Q1597549,kizomba,attach,pop music,AFRICAN POP > CENTRAL AFRICA > CONGO & ANGOLA,Angola.
Q6301761,benga music,attach,pop music,"AFRICAN POP > EAST AFRICA > KENYA, UGANDA & SOMALIA",Kenya.
Q110168453,omutibo,attach,pop music,"AFRICAN POP > EAST AFRICA > KENYA, UGANDA & SOMALIA",Kenya.
Q17115009,mugithi,attach,pop music,"AFRICAN POP > EAST AFRICA > KENYA, UGANDA & SOMALIA",Kenya.
Q6404580,kidandali,attach,pop music,"AFRICAN POP > EAST AFRICA > KENYA, UGANDA & SOMALIA",Ouganda.
Q17108262,Kadongo kamu,attach,pop music,"AFRICAN POP > EAST AFRICA > KENYA, UGANDA & SOMALIA",Ouganda.
Q25683514,Qaraami,attach,pop music,"AFRICAN POP > EAST AFRICA > KENYA, UGANDA & SOMALIA",Somalie.
Q1564596,taarab,attach,pop music,AFRICAN POP > EAST AFRICA > TANZANIA,Zanzibar et côte swahilie.
Q3815106,kidumbaki,attach,pop music,AFRICAN POP > EAST AFRICA > TANZANIA,Tanzanie.
Q118255449,mchiriku,attach,pop music,AFRICAN POP > EAST AFRICA > TANZANIA,Tanzanie.
Q55605210,beni,attach,pop music,AFRICAN POP > EAST AFRICA > TANZANIA,Tanzanie.
Q4943457,boomba music,attach,pop music,AFRICAN POP > EAST AFRICA > TANZANIA,Afrique de l'Est.
Q6124308,jaiva,attach,pop music,AFRICAN POP > SOUTHERN AFRICA > SOUTH AFRICA & LESOTHO,Afrique du Sud.
Q6783396,maskandi,attach,pop music,AFRICAN POP > SOUTHERN AFRICA > SOUTH AFRICA & LESOTHO,Afrique du Sud (zoulou).
Q6799787,mbube,attach,pop music,AFRICAN POP > SOUTHERN AFRICA > SOUTH AFRICA & LESOTHO,Chœur a cappella zoulou.
Q1673922,isicathamiya,attach,pop music,AFRICAN POP > SOUTHERN AFRICA > SOUTH AFRICA & LESOTHO,Chœur a cappella zoulou.
Q5433431,famo,attach,pop music,AFRICAN POP > SOUTHERN AFRICA > SOUTH AFRICA & LESOTHO,Lesotho.
Q108667604,Tsonga disco,attach,pop music,AFRICAN POP > SOUTHERN AFRICA > SOUTH AFRICA & LESOTHO,Afrique du Sud.
Q95366506,Jit,attach,pop music,"AFRICAN POP > SOUTHERN AFRICA > ZIMBABWE, ZAMBIA & MOZAMBIQUE",Zimbabwe.
Q5099460,chimurenga music,attach,pop music,"AFRICAN POP > SOUTHERN AFRICA > ZIMBABWE, ZAMBIA & MOZAMBIQUE",Zimbabwe.
Q109538468,sungura,attach,pop music,"AFRICAN POP > SOUTHERN AFRICA > ZIMBABWE, ZAMBIA & MOZAMBIQUE",Zimbabwe.
Q1669802,kalindula,attach,pop music,"AFRICAN POP > SOUTHERN AFRICA > ZIMBABWE, ZAMBIA & MOZAMBIQUE",Zambie.
Q1786724,marrabenta,attach,pop music,"AFRICAN POP > SOUTHERN AFRICA > ZIMBABWE, ZAMBIA & MOZAMBIQUE",Mozambique.
Q1781796,sega,attach,pop music,AFRICAN POP > INDIAN OCEAN,Maurice.
Q496929,maloya,attach,pop music,AFRICAN POP > INDIAN OCEAN,La Réunion ; ramène maloya électronique.
Q17088735,santé engagé,attach,pop music,AFRICAN POP > INDIAN OCEAN,Seychelles.
Q3032090,Salegy,attach,pop music,AFRICAN POP > INDIAN OCEAN,Madagascar.
Q25093633,tsapiky,attach,pop music,AFRICAN POP > INDIAN OCEAN,Madagascar.
Q101002867,mgodro,attach,pop music,AFRICAN POP > INDIAN OCEAN,Mayotte.
Q164444,funk,attach,rhythm and blues,"SOUL, FUNK & DISCO","Ramène P-Funk, G-funk, go-go…"
Q180268,gospel music,attach,rhythm and blues,GOSPEL & VOCAL HARMONY,Musique afro-américaine.
Q1379958,contemporary Christian music,attach,gospel music,,Pop chrétienne.
Q807820,barbershop music,attach,rhythm and blues,GOSPEL & VOCAL HARMONY,"Chant en harmonie, à côté du doo-wop."
Q1262697,mento,attach,reggae,JAMAICAN ORIGINS,Ancêtre du ska.
Q54365,ska,attach,reggae,JAMAICAN ORIGINS,Jamaïque.
Q573484,rocksteady,attach,reggae,JAMAICAN ORIGINS,Entre ska et reggae.
Q212688,dub music,attach,reggae,"DUB, DEEJAY & DANCEHALL",Jamaïque.
Q3192617,kaneka,attach,reggae,REGGAE AROUND THE WORLD,Nouvelle-Calédonie.
Q202930,reggaeton,attach,Latin music,"CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > PUERTO RICO, HISPANIOLA & THE COAST",Porto Rico.
Q227045,zouk,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > FRENCH ANTILLES & GUIANA,Antilles françaises.
Q2915789,gwo ka,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > FRENCH ANTILLES & GUIANA,Guadeloupe.
Q108556409,tumbélé,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > FRENCH ANTILLES & GUIANA,Antilles françaises.
Q4950496,bouyon,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > FRENCH ANTILLES & GUIANA,Dominique.
Q2932658,cadence-lypso,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > FRENCH ANTILLES & GUIANA,Dominique.
Q60722009,Kasékò,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > FRENCH ANTILLES & GUIANA,Guyane.
Q1051735,soca music,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > TRINIDAD & THE ENGLISH-SPEAKING ISLANDS,Trinité-et-Tobago.
Q752785,calypso,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > TRINIDAD & THE ENGLISH-SPEAKING ISLANDS,Trinité-et-Tobago.
Q1090048,chutney music,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > TRINIDAD & THE ENGLISH-SPEAKING ISLANDS,Trinité-et-Tobago.
Q100330555,steel band music,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > TRINIDAD & THE ENGLISH-SPEAKING ISLANDS,Trinité-et-Tobago.
Q106634508,junkanoo,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > TRINIDAD & THE ENGLISH-SPEAKING ISLANDS,Bahamas.
Q5583956,goombay,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > TRINIDAD & THE ENGLISH-SPEAKING ISLANDS,Bahamas.
Q610022,kaseko,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > SURINAME & GUYANA,Suriname.
Q4848738,baithak gana,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > SURINAME & GUYANA,Suriname (diaspora indienne).
Q65447927,aleke,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > SURINAME & GUYANA,Guyana.
Q7489094,Shanto,attach,Latin music,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > SURINAME & GUYANA,Guyana.
Q283405,punta,attach,Latin music,MEXICO & CENTRAL AMERICA > CENTRAL AMERICA,Belize et Honduras (garifuna).
Q16615430,Palo de Mayo,attach,Latin music,MEXICO & CENTRAL AMERICA > CENTRAL AMERICA,Nicaragua.
Q108951349,music of the Llanos,attach,Latin music,THE ANDES & THE PACIFIC > COLOMBIA & VENEZUELA,Plaines de Colombie et du Venezuela.
Q117745223,Brazilian funk,attach,Latin music,BRAZIL > MODERN BRAZILIAN POP,Funk carioca et ses dérivés ; seul vrai contenu de « club/dance music ».
Q89363113,singer-songwriter music,attach,folk music,SONG & DANCE FORMS,"Nueva canción, Liedermacher, nova cançó…"
Q1443316,Christmas music,attach,folk music,SONG & DANCE FORMS,Chants de Noël.
Q2389651,children's music,attach,folk music,SONG & DANCE FORMS,Chansons pour enfants.
Q2489759,football chant,attach,folk music,SONG & DANCE FORMS,Chants de stade.
Q502658,work song,attach,folk music,SONG & DANCE FORMS > SONG,Chants de travail ; ramène sea shanty.
Q193605,lullaby,attach,folk music,SONG & DANCE FORMS > SONG,Berceuses.
Q151942,mazurka,attach,folk music,SONG & DANCE FORMS > DANCE & REVIVAL,Danse polonaise.
Q212944,klezmer,attach,folk music,EUROPE > CENTRAL & EASTERN EUROPE,Musique juive ashkénaze.
Q3482281,visa,attach,folk music,EUROPE > THE NORDIC COUNTRIES,Chanson scandinave.
Q744327,joik,attach,folk music,EUROPE > THE NORDIC COUNTRIES,Chant sami.
Q1430717,Hambo,regroup,,EUROPE > THE NORDIC COUNTRIES,Déjà dans l'atlas : danse suédoise.
Q4400125,runo song,regroup,,EUROPE > THE NORDIC COUNTRIES,Déjà dans l'atlas : chant finnois.
Q854451,Celtic music,attach,folk music,EUROPE > WESTERN EUROPE > BRITAIN & IRELAND,Musique celtique.
Q23637018,hornpipe,attach,folk music,EUROPE > WESTERN EUROPE > BRITAIN & IRELAND,Danse britannique.
Q1540495,puirt à beul,attach,folk music,EUROPE > WESTERN EUROPE > BRITAIN & IRELAND,Chant gaélique écossais.
Q461406,change ringing,attach,folk music,EUROPE > WESTERN EUROPE > BRITAIN & IRELAND,Sonnerie de cloches anglaise.
Q329385,schottische,attach,folk music,EUROPE > WESTERN EUROPE > THE ALPS & CENTRAL EUROPE,Danse d'Europe centrale.
Q1399566,Guggenmusik,attach,folk music,EUROPE > WESTERN EUROPE > THE ALPS & CENTRAL EUROPE,Fanfares de carnaval suisses et allemandes.
Q12302,bagad,attach,folk music,EUROPE > WESTERN EUROPE > FRANCE & THE MEDITERRANEAN,Bretagne.
Q2936886,cantèra,attach,folk music,EUROPE > WESTERN EUROPE > FRANCE & THE MEDITERRANEAN,Chant polyphonique occitan.
Q324617,tarantella,attach,folk music,EUROPE > ITALY & GREECE > ITALY,Italie du Sud.
Q2036172,pizzica,attach,tarantella,,Forme de tarentelle des Pouilles.
Q7676784,tajaraste,attach,folk music,EUROPE > SPAIN > SPANISH DANCE,Canaries.
Q9009342,Isa,attach,folk music,EUROPE > SPAIN > SPANISH SONG,Canaries.
Q1232283,villancico,attach,folk music,EUROPE > SPAIN > SPANISH SONG,Chant de Noël espagnol.
Q1571388,Jácara,attach,folk music,EUROPE > SPAIN > SPANISH SONG,Chanson espagnole ancienne.
Q3622181,tonadilla,attach,folk music,EUROPE > SPAIN > SPANISH SONG,Scène chantée espagnole.
Q127270988,dechovka,attach,polka,,Polka tchèque pour fanfare.
Q137767022,Eastern-style polka,attach,polka,,Polka des États-Unis.
Q1026089,Cajun music,attach,folk music,THE AMERICAS > NORTH AMERICA > LOUISIANA,Louisiane.
Q245296,zydeco,attach,folk music,THE AMERICAS > NORTH AMERICA > LOUISIANA,Louisiane.
Q3347093,néo-trad,attach,folk music,THE AMERICAS > NORTH AMERICA > FIDDLE TRADITIONS,Québec.
Q5096318,Chicken scratch,attach,folk music,THE AMERICAS > NORTH AMERICA > INDIGENOUS TRADITIONS,Tohono O'odham.
Q122658157,kalattut,attach,folk music,THE AMERICAS > NORTH AMERICA > INDIGENOUS TRADITIONS,Groenland.
Q123699455,vaigat music,attach,folk music,THE AMERICAS > NORTH AMERICA > INDIGENOUS TRADITIONS,Groenland.
Q127835715,uaajeerneq,attach,folk music,THE AMERICAS > NORTH AMERICA > INDIGENOUS TRADITIONS,Groenland.
Q124428373,tivaner inngernerlu,attach,folk music,THE AMERICAS > NORTH AMERICA > INDIGENOUS TRADITIONS,Groenland.
Q17048822,Fakaseasea,regroup,,OCEANIA > POLYNESIA & HAWAII,Déjà dans l'atlas.
Q5765288,Himene tarava,attach,folk music,OCEANIA > POLYNESIA & HAWAII,Polynésie.
Q3357584,ʻōteʻa,attach,folk music,OCEANIA > POLYNESIA & HAWAII,Tahiti.
Q123028778,hapa haole,attach,folk music,OCEANIA > POLYNESIA & HAWAII,Hawaï.
Q98528264,slack-key guitar,attach,folk music,OCEANIA > POLYNESIA & HAWAII,Hawaï.
Q115776141,vude,attach,folk music,OCEANIA > MELANESIA & MICRONESIA,Fidji.
Q115812361,sigidrigi,attach,folk music,OCEANIA > MELANESIA & MICRONESIA,Fidji.
Q6365333,kantan chamorrita,attach,folk music,OCEANIA > MELANESIA & MICRONESIA,Guam.
Q7967858,wangga,attach,folk music,OCEANIA > AUSTRALIA,Aborigènes d'Australie.
Q108297231,djanba,attach,folk music,OCEANIA > AUSTRALIA,Aborigènes d'Australie.
Q107123896,griot music,attach,folk music,AFRICA & THE MIDDLE EAST > WEST AFRICA > SAHEL & SENEGAMBIA,Afrique de l'Ouest.
Q105883401,takamba,attach,folk music,AFRICA & THE MIDDLE EAST > WEST AFRICA > SAHEL & SENEGAMBIA,Touaregs et Songhaï.
Q110241400,tassu,attach,folk music,AFRICA & THE MIDDLE EAST > WEST AFRICA > SAHEL & SENEGAMBIA,Wolof.
Q7042505,Njuup,attach,folk music,AFRICA & THE MIDDLE EAST > WEST AFRICA > SAHEL & SENEGAMBIA,Sénégal (sérère).
Q4691650,agbekor,attach,folk music,"AFRICA & THE MIDDLE EAST > WEST AFRICA > GHANA, TOGO & BENIN",Ewe.
Q30632442,agbadza,attach,folk music,"AFRICA & THE MIDDLE EAST > WEST AFRICA > GHANA, TOGO & BENIN",Ewe.
Q106654137,zinli,regroup,,"AFRICA & THE MIDDLE EAST > WEST AFRICA > GHANA, TOGO & BENIN",Déjà dans l'atlas.
Q108575656,tchinkoumé,regroup,,"AFRICA & THE MIDDLE EAST > WEST AFRICA > GHANA, TOGO & BENIN",Déjà dans l'atlas.
Q17630580,Izlan,attach,folk music,AFRICA & THE MIDDLE EAST > NORTH AFRICA & THE ISLANDS,Maroc (berbère).
Q4696445,ahwash,attach,folk music,AFRICA & THE MIDDLE EAST > NORTH AFRICA & THE ISLANDS,Maroc (berbère).
